,Tree Depth,Number of Trees,Max Features,Accuracy Score
0,2,100,sqrt,0.696831926102331
0,2,100,5,0.7287872555387169
0,2,500,sqrt,0.7062278992566933
0,2,500,5,0.727713069206899
0,2,1000,sqrt,0.705960525366241
0,2,1000,5,0.728518799162878
0,5,100,sqrt,0.7521498159774843
0,5,100,5,0.7486588006061918
0,5,500,sqrt,0.7486588006061918
0,5,500,5,0.7478559572779101
0,5,1000,sqrt,0.7500021649707728
0,5,1000,5,0.748930143609728
0,10,100,sqrt,0.7593963339828246
0,10,100,5,0.7596644295302013
0,10,500,sqrt,0.7639600923720864
0,10,500,5,0.765302374251281
0,10,1000,sqrt,0.7647661831565273
0,10,1000,5,0.7669145558201631
